,Unnamed: 0,heading,website,code,status
128,8,Kirchner Mahlstedt Immobilien,https://kirchner-immobilien.com/,200.0,OK
129,9,Kirchner Mahlstedt Immobilien,https://kirchner-immobilien.com/,200.0,OK
130,0,Kloss Peter Immob.,http://www.kloss-immo-essen.de,200.0,OK
131,1,Kruck Immobilien,http://www.kruck-immobilien.de,200.0,OK
132,2,Kuptz- und Kompagnon Immobilien GmbH,http://www.kuk-immo.de,200.0,OK
133,3,Kuptz- und Kompagnon Immobilien GmbH,http://www.kuk-immo.de,200.0,OK
134,4,La Casa Immobilien GmbH,http://www.lacasa.de,200.0,OK
135,5,Lindner Immobilien,http://www.lindner-immobilien.net,200.0,OK
136,6,"Lindner Immobilien, Inh. Jörg Lindner",http://www.lindner-immobilien.net,200.0,OK
137,7,Lochner Immobilien GmbH & Co. KG,http://www.lochner-kg.de,200.0,OK
138,8,mbi RUHR ESTATE GmbH,http://www.mbi-re.eu,200.0,OK
139,9,NATIONAL-BANK Immobilien GmbH,http://www.nb-i.de,200.0,OK
140,0,Nengelken Christoph Immobilienverwaltung,http://www.immo-nengelken.de,200.0,OK
141,1,Olbrück Nicole Immobilien-Services,http://www.immobilien-olbrueck.de,200.0,OK
142,2,Ottmann Immob.,http://www.immobilien-ottmann.de,403.0,OK
143,3,Placida Portalis Asset Management GmbH,http://www.placidaportalis.de,200.0,OK
144,4,PlanetHome AG Immobilien,http://www.planethome.de,200.0,OK
145,5,Plückelmann Hannelore Immobilien,http://www.plueckelmann.com,404.0,Not Found
146,6,Post Rainer Immob.-Kfm.,http://www.rainerpost.de,200.0,OK
147,7,Pro Casa Immobilien GmbH,http://www.pro-casa.com,200.0,OK
148,8,PRO CASA Immobilien GmbH Herr Christian Kirchholtes Herr Heiko Kirschstein,http://www.pro-casa.com,200.0,OK
149,9,Projekt Invest GmbH Immobilienbüro,http://www.etec.de,200.0,OK
150,0,Projekt Invest GmbH Immobilienbüro,http://www.etec.de,200.0,OK
151,1,R + Z Immobilien GmbH Immobilien,http://www.r-z-immobilien.de,200.0,OK
152,2,RAG Montan Immobilien GmbH,http://www.rag-montan-immobilien.de,200.0,OK
153,3,Rasch GmbH Inh. Corinna Spiess Immobilienagentur,http://www.rasch-immobilien.de,200.0,OK
154,4,Rathgeber Immobilien GmbH,http://www.rathgeber-immobilien.de,200.0,OK
155,5,Raves Alexander Immobilienagentur,http://www.raves-immobilien.de,200.0,OK
156,6,RE/MAX Immobilien Essen Immobilienfranchisor,http://www.polat-group.de/,200.0,OK
157,7,REMO Immobilien GmbH Immobilienverwaltung,http://www.remo-immobilien.de,200.0,OK
158,8,Rona Immobilien GmbH,http://www.rona-immo.de,403.0,OK
159,9,Rosenberger Immobilien,http://www.sabine-rosenberger.de,200.0,OK
